,Address,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,Kind,Postal code,Public name,Rental status,Slots,Station type,Status,Subscription status,day,hour,minute
0,2 Avenue de Suffren,0,0,0,0,nonexistent,Paris,STATION,75015,Paris/Suffren/2,operational,2,station,ok,nonexistent,8,11,43
1,145 Rue Raymond Losserand,6,0,0,0,operational,Paris,STATION,75014,Paris/Raymond Losserand/145,operational,0,station,ok,nonexistent,6,7,24
2,2 Avenue John Fitzgerald Kennedy,3,0,2,0,operational,Le Bourget,STATION,93350,Le Bourget/John Fitzgerald Kennedy/2,operational,1,station,ok,nonexistent,3,20,14
3,51 Rue EugÃ¨ne OudinÃ©,3,1,0,1,operational,Paris,STATION,75013,Paris/EugÃ¨ne OudinÃ©/51,operational,2,station,ok,nonexistent,4,4,37
4,6 avenue de la Porte de Champerret,3,0,0,0,nonexistent,Paris,PARKING,75017,Paris/Porte de Champerret/6,operational,3,station,ok,nonexistent,8,17,23
5,8 Boulevard Voltaire,0,0,0,0,nonexistent,Paris,STATION,75011,Paris/Voltaire/8,operational,4,station,ok,nonexistent,6,7,2
6,37 rue Leblanc,0,0,0,0,nonexistent,Paris,PARKING,75015,Paris/CitroÃ«n CÃ©vennes/Parking,broken,0,station,closed,nonexistent,8,18,20
7,17 Rue des Luaps ProlongÃ©e,3,1,0,0,nonexistent,Nanterre,STATION,92000,Nanterre/Luaps/17,operational,0,station,ok,nonexistent,4,22,13
8,34 avenue Jean Moulin,1,0,0,0,nonexistent,Paris,STATION,75014,Paris/Jean Moulin/34,operational,4,station,ok,nonexistent,2,22,58
9,41 boulevard de Rochechouart,6,0,0,0,nonexistent,Paris,PARKING,75009,Paris/Anvers/Parking,operational,0,station,ok,nonexistent,4,15,2
10,14 rue Censier,0,0,0,2,operational,Paris,STATION,75005,Paris/Censier/14,operational,6,station,ok,nonexistent,1,4,39
11,12 Rue Francis de PressensÃ©,1,0,0,0,nonexistent,Puteaux,STATION,92800,Puteaux/Francis de PressensÃ©/12,operational,4,station,ok,nonexistent,6,9,20
12,6 avenue de la Porte de Champerret,5,1,0,0,nonexistent,Paris,PARKING,75017,Paris/Porte de Champerret/6,operational,0,station,ok,nonexistent,5,12,22
13,34 avenue Jean Moulin,0,0,0,0,nonexistent,Paris,STATION,75014,Paris/Jean Moulin/34,operational,0,station,ok,nonexistent,8,21,54
14,8 Boulevard Richard Lenoir,0,0,0,1,operational,Paris,STATION,75011,Paris/Richard Lenoir/8,operational,4,station,ok,nonexistent,6,8,0
15,3 rue Jean JaurÃ¨s,0,0,0,0,nonexistent,Fontenay-aux-Roses,SPACE,92260,Fontenay-aux-Roses/Jean JaurÃ¨s/3,operational,4,full_station,ok,operational,2,0,21
16,2 avenue du GÃ©nÃ©ral Leclerc,0,0,0,0,nonexistent,Le Chesnay,STATION,78150,Le Chesnay/Leclerc/2,operational,1,station,ok,nonexistent,3,19,0
17,182 Boulevard Voltaire,6,0,0,0,operational,Paris,STATION,75011,Paris/Voltaire/182,operational,0,station,ok,nonexistent,9,12,14
18,26 villa Croix-Nivert,5,0,0,0,nonexistent,Paris,PARKING,75015,Paris/Cambronne/Parking,operational,0,station,ok,nonexistent,9,20,58
19,11 avenue RenÃ© Coty,4,0,2,0,operational,Paris,STATION,75014,Paris/RenÃ© Coty/11,operational,0,station,ok,nonexistent,9,21,31
20,2 Place de Catalogne,3,0,0,0,operational,Paris,SPACE,75014,Paris/Catalogne/2,operational,0,full_station,ok,operational,5,6,16
21,37 avenue Georges Pompidou,2,1,0,0,nonexistent,Suresnes,STATION,92150,Suresnes/Georges Pompidou/37,operational,3,station,ok,nonexistent,7,7,32
22,5 rue Vauban,5,0,0,0,nonexistent,Versailles,STATION,78000,Versailles/Vauban/5,operational,1,station,ok,nonexistent,5,3,6
23,2 Rue du GÃ©nÃ©ral Malleret Joinville,2,0,0,0,nonexistent,Malakoff,STATION,92240,Malakoff/Malleret Joinville/2,operational,4,station,ok,nonexistent,1,4,11
24,15 avenue Ãmile Deschanel,2,0,0,1,operational,Paris,STATION,75007,Paris/Ãmile Deschanel/15,operational,2,station,ok,nonexistent,4,23,27
25,182 Boulevard Voltaire,0,0,0,2,operational,Paris,STATION,75011,Paris/Voltaire/182,operational,5,station,ok,nonexistent,5,21,6
26,203 Rue du Faubourg-Saint-Martin,2,0,1,0,operational,Paris,STATION,75010,Paris/Faubourg-Saint-Martin/203,operational,2,station,ok,nonexistent,3,9,40
27,16 rue Guynemer,1,0,0,0,nonexistent,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Guynemer/16,operational,3,station,ok,nonexistent,6,19,53
28,8 rue Danton,0,0,0,2,operational,Paris,STATION,75006,Paris/Danton/8,operational,6,station,ok,nonexistent,2,23,28
29,35 rue de Boucry,0,0,0,0,broken,Paris,STATION,75018,Paris/Boucry/35,broken,0,station,closed,nonexistent,8,2,29
